00526	00023	00010
00529	00023	-00002
00532	00028	00000
00531	00027	-00003
00535	00028	00016
00540	00023	00010
00540	00021	00006
00537	00023	00000
00530	00029	00005
00529	00018	00005
00527	00020	00002
00526	00022	00009
00523	00023	-00011
00522	00023	00011
00523	00016	00007
00528	00016	00003
00529	00025	00009
00535	00015	-00016
00534	00012	-00004
00542	00015	00005
00542	00020	00005
00539	00022	00009
00540	00023	00010
00538	00022	00012
00544	00024	00010
00541	00026	00004
00541	00029	00018
00537	00022	00019
00543	00023	00008
00542	00022	00006
00538	00021	00010
00541	00023	00019
00534	00025	00005
00531	00023	00001
00531	00030	00002
00527	00030	00004
00525	00027	00003
00527	00027	00017
00522	00020	00016
00529	00027	-00001
00534	00023	00013
00532	00018	00003
00536	00016	-00003
00542	00014	00012
00544	00020	00009
00538	00020	-00010
00541	00018	00004
00536	00017	-00008
00535	00017	00016
00537	00019	00005
00534	00018	00001
00536	00014	-00002
00537	00012	00007
00535	00017	00010
00535	00017	00003
00538	00016	00015
00530	00018	00002
00531	00019	-00008
00532	00021	00014
00538	00018	00003
00538	00018	00012
00535	00028	00009
00533	00023	00011
00540	00019	-00005
00538	00017	-00008
00534	00024	00005
00534	00020	00004
00534	00020	00004
00535	00017	00004
00534	00013	00002
00537	00017	00006
00538	00023	-00004
00538	00015	00006
00537	00019	00006
00534	00019	00005
00535	00016	00007
00536	00020	00007
00529	00019	00006
00532	00018	00003
00532	00023	-00002
00530	00020	-00006
00528	00021	00011
00529	00022	-00002
00530	00017	00013
00533	00017	00000
00529	00014	00010
00532	00017	00007
00529	00015	00007
00533	00009	-00004
00537	00013	-00007
00536	00019	00009
00538	00018	00013
00539	00021	00003
00536	00022	00005
00525	00034	00011
00481	-00019	00243
00432	-00064	01444
00466	-00058	01843
00423	00041	01890
00419	00035	02333
00543	00003	02205
00542	00008	01794
00622	00054	01695
00678	00101	01305
00642	00107	00748
00691	00030	00448
00725	00015	00039
00618	00060	00002
00622	00035	-00008
00583	00056	-00003
00556	00038	00004
00554	00029	00006
00555	00006	-00006
00518	00008	-00011
00507	00012	00005
00520	00017	00013
00551	00014	00001
00561	00003	-00054
00507	00006	-00059
00489	-00003	-00008
00482	-00011	00020
00454	-00027	00173
00446	-00022	00164
00402	-00019	00026
00412	-00011	00020
00452	-00014	00008
00457	-00010	00002
00467	00004	00039
00477	00007	00057
00480	00001	00045
00469	-00005	00052
00425	-00025	00045
00410	-00021	00098
00527	-00038	-00005
00590	-00033	-00005
00584	-00028	-00021
00562	-00023	-00007
00593	-00005	00004
00648	00015	00003
00639	00028	00003
00549	00022	-00046
00489	00022	00009
00504	00028	00010
00532	00024	-00009
00528	00025	00009
00508	00017	00016
00499	00015	00000
00505	00014	00012
00521	00019	00008
00524	00007	00009
00528	00008	00017
00530	00007	00004
00545	00010	00003
00554	00017	-00005
00571	00027	00083
00588	00039	00334
00605	00056	00523
00635	00053	00594
00654	00038	00438
00668	00045	00092
00638	00049	-00311
00571	00041	-00534
00470	00029	-00606
00368	00044	-00542
00243	00087	-00323
00154	00157	-00127
00045	00204	00110
-00014	00262	00356
-00032	00317	00564
-00009	00354	00586
00023	00363	00426
00049	00355	00106
00048	00341	-00089
00059	00328	-00181
00045	00330	-00134
-00002	00347	-00152
-00141	00345	-00049
-00249	00363	00236
-00361	00394	00360
-00459	00415	00271
-00506	00440	00105
-00481	00459	00033
-00431	00445	-00062
-00294	00462	-00100
-00317	00490	-00063
-00264	00509	00007
-00240	00498	00002
-00280	00477	00024
